MagicCards.info	Trader	MWS	Gatherer	Expansion	Core	Block	Date
on	ONS	ON	ONS 	Onslaught	No	Onslaught	10/7/2002
ju	JUD	JU	JUD 	Judgment	No	Odyssey	5/27/2002
tr	TOR	TO	TOR 	Torment	No	Odyssey	2/4/2002
dm	DM	DM	DKM	Deckmasters	No	?	12/1/2001
od	OD	OD	ODY 	Odyssey	No	Odyssey	9/22/2001
ap	AP	AP	APC 	Apocalypse	No	Invasion	5/26/2001
7e	7TH	7E	7ED 	Seventh Edition	Yes	Starter	4/11/2001
ps	PS	PS	PLS 	Planeshift	No	Invasion	2/5/2001
bd	BD	BD	BTD	Beatdown Box Set	No	?	12/1/2000
in	IN	IN	INV 	Invasion	No	Invasion	10/2/2000
st2k	ST2	S00	S00	Starter 2000	No	Starter	7/1/2000
pr	PR	PY	PCY 	Prophecy	No	Masques	6/5/2000
ne	NE	NE	NMS 	Nemesis	No	Masques	2/14/2000
br	?	BRB	BRB	Battle Royale Box Set	No	?	11/12/1999
mm	MM	MM	MMQ 	Mercadian Masques	No	Masques	10/4/1999
p3k	P3	P3	PTK	Portal Three Kingdoms	No	Portal	7/1/1999
st	ST1	ST	S99	Starter 1999	No	Starter	7/1/1999
ud	UD	UD	UDS 	Urza's Destiny	No	Urza	6/7/1999
6e	6TH	6E	6ED 	Classic Sixth Edition	Yes	?	4/28/1999
ul	UL	UL	ULG 	Urza's Legacy	No	Urza	2/15/1999
at	?	AT	ATH	Anthologies	No	?	11/1/1998
us	UZ	US	USG 	Urza's Saga	No	Urza	10/12/1998
ug	UG	UG	UGL	Unglued	No	?	8/17/1998
ex	EX	EX	EXO 	Exodus	No	Tempest	6/15/1998
po2	P2	P2	P02	Portal Second Age	No	Portal	6/1/1998
sh	ST	SH	STH 	Stronghold	No	Tempest	3/2/1998
tp	TE	TE	TMP 	Tempest	No	Tempest	10/14/1997
wl	WL	WL	WTH 	Weatherlight	No	Mirage	6/9/1997
po	PT	PT	POR	Portal	No	Portal	6/1/1997
5e	5TH	5E	5ED 	Fifth Edition	Yes	?	3/24/1997
vi	VI	VI	VIS 	Visions	No	Mirage	2/3/1997
mr	MI	MI	MIR 	Mirage	No	Mirage	10/8/1996
?	?	I2P	?	Rivals Quick Start Set	No	?	7/1/1996
ai	AI	AL	ALL 	Alliances	No	Ice Age	6/10/1996
hl	HL	HL	HML 	Homelands	No	Early Expansions	10/1/1995
ch	CH	CH	CHR	Chronicles	No	?	7/1/1995
ia	IA	IA	ICE 	Ice Age	No	Ice Age	6/1/1995
4e	4TH	4E	4ED 	Fourth Edition	Yes	?	4/1/1995
fe	FE	FE	FEM 	Fallen Empires	No	Early Expansions	11/1/1994
dk	DK	DK	DRK 	The Dark	No	Early Expansions	8/1/1994
lg	LE	LG	LEG 	Legends	No	Early Expansions	6/1/1994
rv	RV	R	3ED 	Revised Edition	Yes	?	4/1/1994
aq	AQ	AQ	ATQ 	Antiquities	No	Early Expansions	3/1/1994
un	U	U	2ED 	Unlimited Edition	Yes	?	12/1/1993
an	AN	AN	ARN 	Arabian Nights	No	Early Expansions	12/1/1993
be	B	B	LEB 	Limited Edition Beta	Yes	?	10/1/1993
al	A	A	LEA 	Limited Edition Alpha	Yes	?	8/5/1993
itp	?	?	?	Introductory Two-Player Set	No	?	?
